"Neighborhood;Community area;Latitude;Longitude"
"Albany Park;Albany Park;41.9719367;-87.7161739"
"Altgeld Gardens;Riverdale;41.654863750000004;-87.60044615358365"
"Andersonville;Edgewater;41.9771393;-87.66927341557962"
"Archer Heights;Archer Heights;41.8114215;-87.7261651"
"Armour Square;Armour Square;41.8400333;-87.633107"
"Ashburn;Ashburn;41.7493516;-87.71351380759043"
"Ashburn Estates;Ashburn;0;0"
"Auburn Gresham;Auburn Gresham;41.750757;-87.6629475"
"Avalon Park;Avalon Park;41.7450346;-87.5886584"
"Avondale;Avondale;41.9389208;-87.711168"
"Avondale Gardens;Irving Park;0;0"
"Back of the Yards;New City;41.8075332;-87.6661628"
"Belmont Central;Belmont Cragin;41.9316983;-87.7686699"
"Belmont Gardens;Hermosa;41.9385539;-87.72874299258137"
"Belmont Heights;Dunning;0;0"
"Belmont Terrace;Dunning;41.9380804;-87.8012186"
"Beverly;Beverly;41.7181532;-87.6717674"
"Beverly View;Ashburn;0;0"
"Beverly Woods;Morgan Park;41.6833861;-87.6812436"
"Big Oaks;Norwood Park;0;0"
"Boystown;Lake View;41.9438833;-87.6492669"
"Bowmanville;Lincoln Square;41.9721331;-87.6937374"
"Brainerd;Washington Heights;41.7321231;-87.65896"
"Brickyard;Belmont Cragin;41.92944385;-87.78813091877166"
"Bridgeport;Bridgeport;41.8379385;-87.651028"
"Brighton Park;Brighton Park;41.8189217;-87.6989421"
"Bronzeville;Douglas;41.8308667;-87.6264399"
"Bucktown;Logan Square;41.9162108;-87.6701232"
"Budlong Woods;Lincoln Square;0;0"
"Buena Park;Uptown;41.9578099;-87.6528331"
"Burnside;Burnside;41.7300345;-87.596714"
"Cabrini–Green;Near North Side;41.8988049;-87.6409372"
"Calumet Heights;Calumet Heights;41.7300347;-87.5792134"
"Canaryville;New City;41.8147556;-87.6403288"
"Central Station;Near South Side;0;0"
"Chatham;Chatham;41.7411454;-87.6125481"
"Chicago Lawn;Chicago Lawn;41.7750332;-87.6964408"
"Chinatown;Armour Square;41.8516579;-87.6331383"
"Chrysler Village;Clearing;0;0"
"Clarendon Park;Uptown;41.96327455;-87.6488575927304"
"Clearing East;Clearing;41.780588;-87.7733881"
"Clearing West;Clearing;41.780588;-87.7733881"
"Cottage Grove Heights;Pullman;0;0"
"Cragin;Belmont Cragin;41.9203096;-87.7561691"
"Crestline;Ashburn;0;0"
"Dearborn Homes;Douglas;41.84073675;-87.62824856406172"
"Dearborn Park;Near South Side;41.8665526;-87.62895387063347"
"Douglas Park;North Lawndale;41.8600662;-87.69935465963917"
"Dunning;Dunning;41.952809;-87.7964493"
"East Beverly;Beverly;41.7181532;-87.6717674"
"East Chatham;Chatham;41.7411454;-87.6125481"
"East Garfield Park;East Garfield Park;41.8808657;-87.7028328"
"East Hyde Park;Hyde Park;0;0"
"East Pilsen;Lower West Side;41.8575329;-87.6575528"
"East Side;East Side;41.6946178;-87.5333872"
"East Village;West Town;41.8961978;-87.6553579"
"Eden Green;Riverdale;0;0"
"Edgebrook;Forest Glen;41.9996772;-87.7641002"
"Edgewater;Edgewater;41.9833689;-87.6639516"
"Edgewater Beach;Edgewater;41.9833689;-87.6639516"
"Edgewater Glen;Edgewater;41.9923905;-87.664046"
"Edison Park;Edison Park;42.002521400000006;-87.81797590664794"
